,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,NObeyesdad,lifestyle
6393,1,2,3,2,0,2,0,1,1,1,1,-2
6403,1,2,3,3,0,3,0,1,0,0,1,-2
6445,1,2,3,2,0,1,0,0,1,0,1,-2
6453,1,3,3,2,0,1,0,1,1,1,1,-2
6465,1,3,3,3,0,1,0,1,0,1,1,-2
6557,0,3,1,1,0,2,0,2,1,1,1,-2
6579,1,1,3,2,0,1,0,0,1,1,1,-2
6641,1,2,4,1,0,1,0,1,1,0,1,-2
6803,1,2,3,3,0,2,0,0,1,1,1,-2
6836,1,3,1,3,0,3,0,1,1,1,1,-2
7023,1,3,3,1,0,2,0,2,1,0,1,-2
7033,0,2,3,1,0,2,0,2,0,0,1,-2
7225,1,2,3,2,0,1,0,0,1,0,1,-2
7297,1,3,3,1,0,3,0,2,2,1,1,-2
7368,1,2,3,3,0,2,0,1,0,1,1,-2
7523,1,2,3,3,0,2,0,0,1,1,1,-2
7558,0,3,3,3,0,2,0,0,1,1,1,-2
7642,1,2,3,1,0,1,0,0,2,0,1,-2
7696,1,2,3,1,0,2,0,3,0,1,1,-2
7793,1,1,3,1,0,1,1,0,1,1,1,-2
7844,1,2,3,1,0,3,0,2,1,0,1,-2
7866,1,2,3,1,0,2,0,2,1,1,1,-2
7925,1,2,1,1,0,2,0,1,2,1,1,-2
7965,1,2,3,2,0,2,0,1,1,1,1,-2
7979,1,2,1,1,0,1,0,1,1,0,1,-2
8236,0,2,3,1,0,3,0,2,1,1,1,-2
8330,1,3,3,1,0,3,0,2,2,1,1,-2
8339,1,2,3,2,0,2,0,1,1,1,1,-2
8419,1,2,3,1,0,2,0,2,1,1,1,-2
8470,0,2,3,2,0,1,0,1,0,1,1,-2
8508,1,2,3,1,0,2,0,2,1,1,1,-2
8577,1,3,3,2,0,1,0,1,1,1,1,-2
8647,1,2,3,1,0,2,0,1,2,1,1,-2
8655,1,2,3,1,0,1,0,1,1,0,1,-2
8731,1,2,3,1,0,1,0,2,0,0,1,-2
8775,1,2,3,1,0,2,0,2,1,1,1,-2
8811,0,3,4,1,0,1,0,0,2,0,1,-2
8821,1,2,3,2,0,2,0,1,1,1,1,-2
8837,1,2,3,1,0,2,0,2,1,1,1,-2
8965,1,3,3,1,0,2,0,2,1,0,1,-2
8975,1,2,3,1,0,2,0,1,2,1,1,-2
8982,1,3,3,3,0,2,0,0,1,0,1,-2
8995,1,3,3,3,0,2,0,0,1,0,1,-2
9015,0,2,3,2,0,2,0,0,1,0,1,-2
9080,1,3,3,1,0,1,0,2,1,1,1,-2
9082,1,2,3,1,0,2,1,2,0,1,1,-2
9192,1,2,3,2,0,1,0,1,0,0,1,-2
9267,1,2,3,2,0,1,0,0,1,0,1,-2
9302,1,2,3,1,0,1,0,2,0,0,1,-2
9363,1,3,3,2,0,1,0,2,0,1,1,-2
9439,1,2,3,3,0,1,0,0,0,0,1,-2
9455,1,3,4,1,0,2,0,2,1,0,1,-2
9615,1,2,3,1,0,1,0,2,1,2,1,-2
9652,0,2,3,3,0,2,0,0,0,0,1,-2
9676,1,3,3,1,0,2,0,2,1,0,1,-2
9804,1,2,3,1,0,1,0,1,1,0,1,-2
9805,0,1,3,1,0,2,0,2,0,1,1,-2
9810,1,3,3,2,0,2,0,1,1,0,1,-2
9857,1,3,3,1,0,1,0,2,1,1,1,-2
9869,0,2,3,2,0,1,0,1,0,1,1,-2
9960,1,2,1,1,0,2,0,2,1,1,1,-2
10052,1,3,4,1,0,2,0,2,1,0,1,-2
10104,1,2,3,2,0,2,0,2,0,1,1,-2
10173,1,3,3,1,0,2,0,2,1,0,1,-2
10190,1,3,3,1,0,2,0,2,1,0,1,-2
10235,1,2,3,2,0,1,0,0,1,0,1,-2
10251,1,2,3,1,0,2,0,1,2,1,1,-2
10398,1,3,3,1,0,1,0,2,1,1,1,-2
10400,1,2,3,1,0,1,0,1,1,0,1,-2
10473,1,2,3,1,0,2,0,2,1,1,1,-2
10696,1,2,4,1,0,2,1,1,1,1,1,-2
10752,1,2,3,1,0,1,0,1,1,0,1,-2
10873,0,2,3,1,0,1,1,1,0,1,1,-2
10882,1,2,1,3,0,2,0,1,0,1,1,-2
10904,1,2,3,1,0,1,0,1,1,0,1,-2
10922,1,3,3,1,0,2,0,2,1,0,1,-2
11060,1,2,3,1,0,2,0,3,0,1,1,-2
11076,1,2,3,2,0,1,0,1,0,0,1,-2
11078,1,2,3,1,0,2,0,2,1,1,1,-2
11095,1,3,3,2,0,2,0,1,1,0,1,-2
11116,0,2,1,2,0,1,0,1,0,1,1,-2
11226,1,3,3,1,0,2,0,2,1,0,1,-2
11288,1,2,3,1,0,2,1,1,1,1,1,-2
11318,1,2,3,1,0,2,0,2,1,1,1,-2
11345,1,2,3,2,0,1,0,0,1,0,1,-2
11406,1,2,3,1,0,2,0,1,2,1,1,-2
11555,0,3,3,2,0,2,0,1,1,1,1,-2
11604,1,3,3,2,0,1,0,1,1,1,1,-2
11649,1,2,3,2,0,2,0,1,1,1,1,-2
11670,1,2,1,1,0,2,0,1,2,1,1,-2
11682,1,3,4,2,0,2,0,2,0,0,1,-2
11785,1,2,3,2,0,2,0,2,0,1,1,-2
11786,1,2,3,2,0,2,0,1,1,1,1,-2
11866,1,2,1,3,0,2,0,1,0,1,1,-2
11969,0,2,3,2,0,1,0,1,0,1,1,-2
11970,1,2,3,2,0,2,0,1,1,1,1,-2
12058,1,2,3,1,0,2,0,3,0,1,1,-2
12100,1,3,3,2,0,1,0,1,1,1,1,-2
12210,1,1,3,2,0,1,0,1,0,1,1,-2
12223,1,3,4,2,0,2,0,2,0,0,1,-2
12311,1,3,3,2,0,2,0,0,2,0,1,-2
12335,1,3,3,1,0,1,0,1,2,1,1,-2
12397,1,3,3,2,0,1,0,2,0,1,1,-2
12448,1,3,3,1,0,1,0,1,2,1,1,-2
12459,1,2,3,1,0,2,0,1,2,1,1,-2
12662,1,3,3,2,0,2,0,1,1,0,1,-2
12758,1,2,3,1,0,1,0,2,0,0,1,-2
12810,1,2,3,1,0,1,0,1,1,0,1,-2
12812,0,3,3,2,0,2,0,1,1,1,1,-2
12859,1,3,3,1,0,1,0,3,0,1,1,-2
12952,1,2,3,3,0,2,0,1,0,1,1,-2
12994,0,3,3,1,0,2,0,3,0,1,1,-2
13088,1,2,3,1,0,2,0,2,1,1,1,-2
13185,1,2,3,1,0,2,0,2,1,1,1,-2
13226,1,2,1,1,0,1,0,1,1,0,1,-2
13228,1,3,3,1,0,2,0,1,2,0,1,-2
13352,1,2,3,1,0,2,0,2,1,1,1,-2
13360,1,3,3,2,0,2,0,1,1,0,1,-2
13401,1,3,3,1,0,1,0,2,1,1,1,-2
13441,1,3,3,2,1,3,0,3,0,1,1,-2
13569,1,2,3,1,0,2,0,2,1,1,1,-2
13596,1,2,4,1,0,2,0,2,1,1,1,-2
13652,1,2,3,2,0,2,0,1,1,1,1,-2
13697,1,2,4,2,0,2,0,2,0,1,1,-2
13792,1,2,3,1,0,2,0,2,1,1,1,-2
13828,1,3,3,3,0,2,0,1,0,0,1,-2
13904,1,3,3,3,0,2,0,0,1,0,1,-2
13985,1,3,3,1,0,1,0,2,1,1,1,-2
14009,1,1,3,1,0,2,1,2,0,2,1,-2
14219,1,2,3,2,0,2,0,2,0,1,1,-2
14314,0,3,3,1,0,2,0,3,0,1,1,-2
14321,0,2,3,1,0,2,0,2,0,0,1,-2
14434,1,2,3,3,0,2,0,0,1,1,1,-2
14439,0,2,3,1,0,3,1,1,1,1,1,-2
14476,1,3,3,2,0,2,0,1,1,0,1,-2
14480,1,2,3,3,0,2,0,1,0,1,1,-2
14582,1,2,3,1,0,1,0,1,1,0,1,-2
14640,1,3,3,3,0,3,0,2,0,1,1,-2
14656,1,2,3,3,0,2,0,1,0,1,1,-2
14686,1,3,3,0,0,2,0,3,1,0,1,-2
14749,1,2,3,2,0,1,0,1,0,0,1,-2
14857,1,2,3,1,0,1,0,1,1,0,1,-2
14859,1,2,3,2,0,2,0,1,1,1,1,-2
14940,1,3,3,2,0,1,0,1,1,1,1,-2
14969,1,2,3,1,0,2,0,2,1,1,1,-2
15114,1,3,3,2,0,1,0,1,1,1,1,-2
15122,1,3,3,1,0,2,0,3,0,0,1,-2
15152,1,2,3,1,0,2,0,3,0,1,1,-2
15243,1,2,3,2,0,2,0,2,0,1,1,-2
15272,1,3,3,2,0,2,0,1,1,0,1,-2
15305,1,2,1,1,0,1,0,1,1,0,1,-2
15325,0,2,3,1,0,2,0,1,1,0,1,-2
15349,0,2,3,3,0,3,0,1,0,1,1,-2
15357,1,3,3,1,0,1,1,1,1,1,1,-2
15686,1,3,3,2,0,2,0,2,0,0,1,-2
15727,1,2,3,3,0,1,0,0,0,0,1,-2
15752,1,3,3,1,0,2,0,1,2,0,1,-2
15877,1,3,3,1,0,1,0,2,1,1,1,-2
15908,0,2,3,2,0,2,0,0,1,0,1,-2
15934,1,3,3,1,0,2,0,3,0,0,1,-2
15999,1,2,3,2,0,2,0,1,1,1,1,-2
16090,1,2,3,1,0,2,0,1,2,1,1,-2
16104,0,1,3,1,0,2,0,1,1,1,1,-2
16156,1,2,3,1,0,2,0,3,0,1,1,-2
16202,1,2,3,1,0,2,0,2,1,1,1,-2
16209,1,2,3,2,0,2,0,1,1,1,1,-2
16214,1,2,3,1,0,3,1,1,1,0,1,-2
16227,1,3,3,1,0,2,0,3,0,0,1,-2
16275,0,3,3,1,0,2,0,2,1,1,1,-2
16297,0,3,3,1,0,2,0,2,1,1,1,-2
16351,1,3,3,2,0,2,0,1,1,0,1,-2
16384,1,3,3,1,0,2,0,3,0,0,1,-2
16390,1,2,3,1,0,2,0,3,0,1,1,-2
16504,1,2,4,2,0,2,0,2,0,1,1,-2
16569,0,2,3,1,0,1,0,2,0,1,1,-2
16611,0,2,3,1,0,1,0,1,1,1,1,-2
16626,1,2,3,1,0,2,0,2,1,1,1,-2
16682,1,2,3,1,0,2,0,2,1,1,1,-2
16719,1,3,4,2,0,2,0,1,1,0,1,-2
16735,1,2,4,1,0,1,0,1,1,0,1,-2
16772,1,3,3,3,0,2,0,1,0,0,1,-2
16833,1,3,3,2,0,2,0,1,1,0,1,-2
16892,1,3,3,2,0,2,0,1,1,0,1,-2
16896,1,2,3,1,0,1,0,1,1,0,1,-2
16935,1,1,3,1,0,1,0,1,1,1,1,-2
16951,1,3,3,2,0,2,0,2,0,0,1,-2
17006,0,3,3,3,0,2,1,0,0,1,1,-2
17016,0,2,3,1,0,2,0,1,1,0,1,-2
17036,1,2,3,2,0,2,0,1,1,1,1,-2
17163,1,3,3,2,0,1,0,2,0,1,1,-2
17164,0,2,3,1,0,2,0,1,1,0,1,-2
17321,1,3,3,3,0,2,0,1,0,0,1,-2
17336,1,2,4,2,0,2,0,2,0,1,1,-2
17389,1,2,3,1,0,2,0,2,1,1,1,-2
17443,1,3,3,3,0,1,0,0,1,1,1,-2
17546,1,3,4,2,0,2,0,2,1,2,1,-2
17614,1,2,3,1,0,3,0,2,1,0,1,-2
17660,1,2,1,3,0,2,0,1,0,1,1,-2
17717,1,2,3,1,0,2,0,1,2,1,1,-2
17718,1,3,4,2,0,2,0,1,1,0,1,-2
17866,1,3,3,3,0,3,0,1,1,1,1,-2
17879,1,2,3,1,0,2,0,3,0,1,1,-2
18010,1,2,3,2,0,2,0,1,1,1,1,-2
18111,1,2,3,1,0,2,0,2,1,1,1,-2
18183,1,2,3,1,0,2,0,3,0,1,1,-2
18203,1,2,3,2,0,2,0,1,1,1,1,-2
18206,1,2,4,1,0,1,0,2,0,0,1,-2
18357,0,2,3,1,0,3,0,2,1,1,1,-2
18418,0,3,3,2,0,1,0,1,0,0,1,-2
18474,1,3,1,2,0,1,0,1,1,1,1,-2
18501,1,2,3,1,0,2,0,2,1,1,1,-2
18528,1,2,4,1,0,2,0,2,1,1,1,-2
18623,1,2,3,2,0,2,0,1,1,1,1,-2
18742,1,2,1,1,0,2,0,2,1,1,1,-2
18803,1,2,4,2,0,2,1,1,0,1,1,-2
18860,0,3,1,1,0,1,0,2,0,0,1,-2
18955,1,3,3,3,0,2,0,1,0,0,1,-2
18997,1,2,3,1,0,3,0,2,1,0,1,-2
19000,1,2,3,3,0,2,0,1,0,1,1,-2
19008,1,2,3,1,0,1,0,1,1,0,1,-2
19114,1,3,1,1,0,2,0,2,1,0,1,-2
19124,1,2,3,1,0,2,0,2,1,1,1,-2
19152,0,2,3,1,0,2,0,1,1,0,1,-2
19179,0,2,1,1,0,2,0,1,1,0,1,-2
19329,0,3,3,2,0,1,0,0,1,0,1,-2
19418,1,2,3,1,0,3,0,3,0,0,1,-2
19501,1,3,3,1,0,2,0,3,0,0,1,-2
19650,1,2,4,1,0,2,0,2,1,1,1,-2
19656,1,2,3,2,0,2,0,1,1,1,1,-2
19673,1,3,3,3,0,1,0,1,0,1,1,-2
19756,1,3,1,1,0,2,0,2,1,0,1,-2
19853,1,2,3,2,0,2,0,1,1,1,1,-2
19865,1,3,3,1,0,2,0,2,1,0,1,-2
19878,0,3,3,1,0,1,0,1,1,0,1,-2
19887,1,2,3,2,0,3,0,2,1,2,1,-2
19889,0,2,4,2,0,2,0,1,0,0,1,-2
19918,1,3,3,2,0,2,0,1,1,0,1,-2
19956,1,3,3,2,0,2,0,2,0,0,1,-2
19989,1,2,3,1,0,2,0,3,0,1,1,-2
19995,1,2,3,1,0,1,0,1,1,0,1,-2
20025,1,2,3,1,0,2,0,2,1,1,1,-2
20074,1,2,3,2,0,2,0,0,2,1,1,-2
20147,1,2,3,2,0,2,0,1,1,1,1,-2
20254,1,3,3,2,0,2,0,1,1,0,1,-2
20427,0,2,3,1,0,2,0,0,2,0,1,-2
20437,0,3,3,1,0,1,0,2,0,0,1,-2
20451,1,3,3,3,0,2,0,1,0,0,1,-2
20479,0,2,3,2,0,1,0,1,0,1,1,-2
20483,1,3,3,3,0,2,0,1,0,0,1,-2
20528,1,3,3,2,0,1,0,1,1,1,1,-2
275,1,3,3,2,0,2,0,0,2,1,1,-1
416,0,3,3,1,0,1,0,1,1,1,1,-1
434,1,2,3,2,0,1,0,1,0,1,1,-1
437,1,3,3,2,0,2,0,0,2,1,1,-1
444,1,1,3,1,0,1,0,0,1,0,1,-1
529,1,2,4,1,0,3,1,2,0,1,1,-1
536,1,3,3,1,0,1,0,2,0,0,1,-1
541,1,3,3,2,0,2,0,1,1,1,1,-1
562,1,2,3,1,0,3,0,2,1,1,1,-1
734,1,2,4,1,0,2,0,1,2,2,1,-1
800,1,1,3,1,0,2,0,1,1,1,1,-1
805,1,3,3,1,0,2,0,2,1,1,1,-1
807,1,2,3,1,0,2,0,1,1,0,1,-1
812,1,2,3,1,0,3,0,3,0,1,1,-1
864,1,3,1,1,0,2,0,3,0,1,1,-1
876,1,2,3,1,0,1,1,1,0,1,1,-1
881,1,3,4,2,0,2,0,1,1,1,1,-1
893,1,2,3,2,0,2,0,1,0,0,1,-1
1066,1,3,3,1,0,1,0,2,0,0,1,-1
1100,1,2,3,2,0,1,0,1,0,1,1,-1
1118,0,2,3,2,0,2,0,0,1,1,1,-1
1121,1,2,3,1,0,1,0,1,1,1,1,-1
1129,1,3,3,2,0,2,0,1,1,1,1,-1
1155,1,3,3,1,0,2,0,2,1,1,1,-1
1219,0,2,3,1,0,1,0,1,0,0,1,-1
1248,1,3,3,1,0,2,0,2,1,1,1,-1
1258,1,3,3,2,0,2,0,2,0,1,1,-1
1280,1,2,3,2,0,2,0,0,1,0,1,-1
1292,1,2,3,1,0,1,0,0,2,1,1,-1
1334,1,2,1,1,0,1,1,1,0,1,1,-1
1346,1,2,3,1,0,3,0,2,1,1,1,-1
1409,1,2,3,1,0,1,0,1,1,1,1,-1
1416,0,3,3,1,0,2,0,1,1,0,1,-1
1521,0,3,3,2,0,2,0,0,1,0,1,-1
1561,1,2,3,1,0,1,0,1,1,1,1,-1
1580,0,2,3,1,0,2,0,1,1,1,1,-1
1629,1,2,3,2,0,2,0,1,0,0,1,-1
1656,1,2,3,1,0,1,0,1,1,1,1,-1
1684,1,2,3,2,0,2,0,1,0,0,1,-1
1719,0,2,3,1,0,2,0,2,0,1,1,-1
1732,0,2,3,1,0,2,0,0,2,1,1,-1
1764,1,2,3,1,0,1,0,1,1,1,1,-1
1880,1,2,3,1,0,2,0,0,2,0,1,-1
1952,1,3,3,1,0,2,0,2,1,1,1,-1
1959,1,2,3,1,0,2,0,1,1,0,1,-1
1972,1,2,3,1,0,2,0,1,1,0,1,-1
1996,0,2,3,1,0,2,0,2,0,1,1,-1
2023,1,2,4,2,0,1,0,1,0,1,1,-1
2032,1,2,4,3,0,1,0,0,0,1,1,-1
2104,1,3,3,2,0,2,0,2,0,1,1,-1
2180,1,3,4,1,0,2,0,2,1,1,1,-1
2348,1,3,3,1,0,1,1,1,0,0,1,-1
2381,1,3,3,1,0,1,0,1,1,0,1,-1
2429,1,1,4,2,0,2,0,1,0,1,1,-1
2521,1,3,3,1,0,2,0,2,1,1,1,-1
2621,1,2,3,1,0,1,0,2,0,1,1,-1
2666,1,3,3,1,0,2,0,2,1,1,1,-1
2686,1,3,3,2,0,2,0,1,1,1,1,-1
2711,1,2,3,1,0,2,0,1,1,0,1,-1
2724,1,2,3,2,0,1,0,0,1,1,1,-1
2741,1,2,3,1,0,1,0,2,0,1,1,-1
2782,1,2,3,2,0,2,0,1,0,0,1,-1
2805,1,2,3,2,0,1,0,1,0,1,1,-1
2812,1,2,3,1,0,1,0,0,2,1,1,-1
2816,1,2,3,1,0,2,0,1,1,0,1,-1
2880,1,2,4,1,0,3,1,2,0,1,1,-1
2901,1,2,3,2,0,1,0,1,0,1,1,-1
2915,1,3,4,1,0,2,0,2,1,1,1,-1
2934,1,1,3,1,0,1,0,1,1,2,1,-1
2993,1,3,3,1,0,1,0,1,1,0,1,-1
3027,1,2,4,2,0,1,0,1,0,1,1,-1
3060,1,3,3,2,0,2,0,2,0,1,1,-1
3089,1,2,3,1,0,1,0,1,1,1,1,-1
3102,0,2,3,1,0,2,0,1,1,1,1,-1
3126,1,3,3,1,0,2,0,1,2,1,1,-1
3139,0,2,3,1,0,1,0,1,0,0,1,-1
3245,1,3,3,1,0,2,1,1,1,1,1,-1
3300,1,2,3,2,0,2,0,0,1,0,1,-1
3415,1,2,3,1,0,1,0,1,1,1,1,-1
3416,1,2,3,1,0,1,0,0,2,1,1,-1
3430,1,3,1,1,0,2,0,2,1,1,1,-1
3554,1,3,3,1,0,1,0,1,1,0,1,-1
3608,1,2,3,2,0,3,0,2,0,1,1,-1
3615,1,2,3,1,0,1,0,1,1,1,1,-1
3723,1,2,3,1,0,2,0,1,1,0,1,-1
3765,1,2,3,1,0,1,0,1,1,1,1,-1
3780,1,2,3,1,0,2,0,1,1,0,1,-1
3785,1,3,3,1,0,2,0,2,1,1,1,-1
3792,1,2,3,1,0,2,0,3,0,2,1,-1
3815,1,2,3,1,0,1,0,1,1,1,1,-1
3816,1,2,1,1,0,2,0,0,2,0,1,-1
3831,1,2,3,1,0,1,0,1,1,1,1,-1
3903,1,3,3,1,0,2,0,3,0,1,1,-1
3939,1,3,1,2,0,2,0,1,1,1,1,-1
3964,1,2,3,1,0,3,0,1,2,1,1,-1
3991,1,2,3,1,0,1,0,1,1,1,1,-1
4024,1,2,3,1,0,3,0,1,2,1,1,-1
4149,1,2,3,1,0,2,0,0,2,0,1,-1
4175,1,2,3,1,0,2,0,2,0,0,1,-1
4180,1,2,1,1,0,2,0,1,1,0,1,-1
4194,1,2,3,1,0,1,0,2,0,1,1,-1
4203,1,2,3,1,0,1,0,1,1,1,1,-1
4259,1,2,3,1,0,2,0,1,1,0,1,-1
4274,1,3,3,2,0,2,1,1,0,1,1,-1
4280,0,2,3,2,0,2,0,0,1,1,1,-1
4352,1,1,3,1,0,1,0,0,1,0,1,-1
4358,0,3,3,1,0,2,0,1,1,0,1,-1
4619,1,3,3,2,0,2,0,1,1,1,1,-1
4650,1,2,3,2,0,2,0,1,0,0,1,-1
4687,0,2,3,1,0,2,0,1,1,1,1,-1
4723,1,2,3,2,0,2,0,0,1,0,1,-1
4726,0,2,3,3,0,3,0,0,0,0,1,-1
4776,0,3,3,1,0,3,0,2,1,1,1,-1
4830,1,2,1,1,0,2,0,2,0,0,1,-1
4917,1,3,3,3,0,3,0,0,1,0,1,-1
4935,1,2,3,1,0,2,0,1,1,0,1,-1
5007,0,2,3,1,0,1,0,0,1,0,1,-1
5133,1,3,3,1,0,2,0,2,1,1,1,-1
5257,0,2,3,1,0,2,0,2,0,1,1,-1
5283,1,2,3,1,0,1,0,1,1,1,1,-1
5442,1,2,3,1,0,1,0,2,0,1,1,-1
5488,0,2,3,1,0,2,0,2,0,1,1,-1
5532,0,3,3,1,0,1,0,2,0,1,1,-1
5584,1,2,3,1,0,2,0,2,0,0,1,-1
5594,1,2,4,1,0,2,0,2,0,0,1,-1
5807,1,3,4,2,0,2,0,2,0,1,1,-1
5815,1,2,3,1,0,1,0,1,1,1,1,-1
5904,1,2,3,1,0,1,0,2,0,1,1,-1
5928,1,2,3,1,0,3,0,2,1,1,1,-1
6027,1,2,1,1,0,2,1,1,0,0,1,-1
6074,1,2,3,1,0,2,0,1,1,0,1,-1
6094,1,2,3,1,0,1,0,0,2,1,1,-1
6129,1,2,1,1,0,1,0,1,1,1,1,-1
6137,1,2,3,1,0,2,0,2,0,0,1,-1
6180,1,2,1,1,0,2,0,2,0,0,1,-1
6247,1,3,3,1,0,2,1,2,0,1,1,-1
6279,1,3,3,1,0,2,0,1,2,1,1,-1
6289,1,2,3,1,0,2,0,1,1,0,1,-1
6307,0,2,1,2,0,1,0,0,0,0,1,-1
6357,1,3,3,1,0,2,0,2,1,1,1,-1
6362,1,1,3,1,0,2,0,1,1,1,1,-1
6372,0,2,3,1,0,2,0,1,1,1,1,-1
6382,1,3,3,1,0,2,0,2,1,1,1,-1
6438,1,3,3,2,0,1,0,0,1,0,1,-1
6550,1,2,3,1,0,2,0,1,1,0,1,-1
6575,1,2,1,2,0,1,0,0,1,1,1,-1
6586,1,2,3,1,0,2,0,1,1,0,1,-1
6626,0,3,3,1,0,2,0,2,0,0,1,-1
6690,1,3,3,3,0,2,0,1,0,1,1,-1
6698,0,3,3,1,0,2,0,1,1,0,1,-1
6727,1,3,3,2,0,2,0,2,0,1,1,-1
6851,1,1,3,1,0,2,0,2,0,1,1,-1
6905,1,3,3,1,0,2,0,2,1,1,1,-1
6970,1,2,3,1,0,2,0,1,1,0,1,-1
7017,1,3,3,1,0,2,0,2,1,1,1,-1
7054,0,3,3,1,0,2,0,2,0,0,1,-1
7129,0,3,3,1,0,1,1,1,0,1,1,-1
7262,1,2,3,1,0,1,0,2,0,1,1,-1
7292,1,2,3,2,0,2,0,2,0,2,1,-1
7327,1,3,3,1,0,2,0,2,1,1,1,-1
7352,0,2,3,1,0,2,0,1,1,1,1,-1
7365,1,2,3,1,0,2,0,1,1,0,1,-1
7493,0,2,3,1,0,2,0,2,0,1,1,-1
7495,1,3,3,2,0,2,0,1,1,1,1,-1
7565,1,3,1,2,0,1,0,1,0,0,1,-1
7682,1,2,4,2,0,2,0,1,0,0,1,-1
7685,1,2,3,1,0,2,0,1,1,0,1,-1
7703,1,3,4,1,0,2,1,2,0,1,1,-1
7717,1,3,3,1,0,2,0,2,1,1,1,-1
7763,1,3,3,1,0,2,0,2,1,1,1,-1
7816,1,1,3,1,0,2,0,0,2,1,1,-1
7824,1,2,3,1,0,3,0,3,0,1,1,-1
7828,1,1,3,1,0,1,0,1,0,0,1,-1
7855,0,3,3,3,0,2,0,0,0,0,1,-1
7861,0,2,4,2,0,2,0,1,0,1,1,-1
7869,1,2,3,1,0,3,0,3,0,1,1,-1
7972,0,2,3,1,0,2,0,1,1,1,1,-1
7977,1,2,3,2,0,2,0,0,1,0,1,-1
8060,1,2,1,1,0,2,0,1,1,0,1,-1
8090,1,2,3,2,0,1,0,0,1,1,1,-1
8099,1,2,3,1,0,2,0,0,2,0,1,-1
8207,1,2,4,2,0,2,0,0,1,0,1,-1
8258,1,3,3,1,0,2,0,2,1,1,1,-1
8276,1,2,3,1,0,1,0,2,0,1,1,-1
8300,1,3,1,1,1,2,1,1,1,1,1,-1
8309,1,3,1,2,0,1,0,0,1,0,1,-1
8441,1,2,3,1,0,1,0,1,1,1,1,-1
8511,1,3,3,1,0,2,0,1,2,1,1,-1
8904,1,3,3,2,0,2,0,2,0,1,1,-1
9011,0,2,3,2,0,2,0,0,1,1,1,-1
9129,1,2,3,1,0,1,0,1,1,1,1,-1
9188,1,2,3,1,0,2,0,2,0,0,1,-1
9245,1,2,3,1,0,2,0,2,0,0,1,-1
9462,1,2,3,1,0,1,0,1,1,1,1,-1
9505,1,3,3,1,0,1,0,1,1,0,1,-1
9522,1,2,3,1,0,1,0,1,1,1,1,-1
9526,1,2,3,1,0,2,0,2,0,0,1,-1
9704,1,3,3,1,0,2,0,1,2,1,1,-1
9760,1,2,3,1,0,2,0,2,0,0,1,-1
9901,1,2,3,1,0,1,1,1,0,1,1,-1
9902,1,3,3,2,0,2,0,2,0,1,1,-1
9906,1,3,1,1,0,1,0,2,0,0,1,-1
9911,0,3,3,3,0,3,0,1,0,1,1,-1
9932,0,1,3,1,0,2,0,0,1,0,1,-1
9975,1,2,3,1,0,1,0,1,1,1,1,-1
10083,1,2,3,1,0,1,0,1,1,1,1,-1
10098,1,1,3,1,0,2,0,1,1,1,1,-1
10134,1,2,3,1,0,2,0,1,1,0,1,-1
10219,1,2,3,1,0,1,0,1,1,1,1,-1
10291,1,3,4,2,0,3,0,2,0,0,1,-1
10318,1,3,1,1,0,2,0,2,1,1,1,-1
10330,1,3,3,1,0,2,0,2,1,1,1,-1
10356,0,2,1,1,0,2,0,1,1,1,1,-1
10389,1,2,3,3,1,3,0,1,0,1,1,-1
10465,0,2,1,1,0,2,0,1,1,1,1,-1
10485,0,2,4,1,0,2,0,2,0,1,1,-1
10536,1,2,3,1,0,1,0,1,1,1,1,-1
10618,1,2,3,1,0,2,0,1,1,0,1,-1
10661,1,2,4,1,0,2,0,2,0,0,1,-1
10705,1,2,3,1,0,2,0,2,0,0,1,-1
10708,1,3,3,1,0,1,0,1,1,0,1,-1
10717,1,2,3,1,0,1,0,1,1,1,1,-1
10724,1,2,3,2,0,1,0,1,0,1,1,-1
10776,1,2,3,1,0,2,0,2,0,0,1,-1
10788,0,2,3,1,0,2,0,1,1,1,1,-1
10865,1,2,3,1,0,1,0,1,1,1,1,-1
10949,1,2,3,2,0,1,0,1,0,1,1,-1
10955,1,2,3,2,0,2,0,0,1,0,1,-1
11014,1,2,3,1,0,1,0,2,0,1,1,-1
11053,1,3,1,1,0,2,1,0,2,1,1,-1
11108,1,2,3,2,0,2,0,0,1,0,1,-1
11111,0,2,3,1,0,2,1,1,0,1,1,-1
11146,1,2,3,1,0,1,0,1,1,1,1,-1
11169,1,3,3,1,0,2,0,2,1,1,1,-1
11181,1,3,3,1,0,2,0,2,1,1,1,-1
11229,1,3,3,1,0,2,0,2,1,1,1,-1
11298,1,2,3,1,0,2,0,1,1,0,1,-1
11336,1,2,3,1,0,1,1,0,1,1,1,-1
11390,1,3,3,1,0,2,0,3,0,1,1,-1
11472,1,2,3,1,0,1,0,1,1,1,1,-1
11544,1,2,4,2,0,3,0,2,0,1,1,-1
11590,1,2,3,1,0,1,0,0,2,1,1,-1
11708,1,2,3,1,0,1,0,1,1,1,1,-1
11752,1,2,4,1,0,2,0,2,0,0,1,-1
11776,1,2,3,1,0,2,0,1,1,0,1,-1
11777,0,3,3,1,0,2,1,1,0,0,1,-1
11795,1,2,1,1,0,1,0,1,1,1,1,-1
12009,1,3,3,1,0,1,1,1,0,0,1,-1
